* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
20.000000	54.089076
20.290907	54.091801
20.586045	54.094566
20.885476	54.097371
21.189262	54.100217
21.497467	54.103104
21.810155	54.106033
22.127391	54.109005
22.449241	54.112019
22.775773	54.115078
23.107054	54.118181
23.443154	54.121330
23.784142	54.124524
24.130091	54.127765
24.481071	54.131052
24.837156	54.134388
25.198421	54.137772
25.564940	54.141022
25.936791	54.144079
26.314050	54.147180
26.696797	54.150326
27.085111	54.153519
27.479073	54.156757
27.878765	54.160043
28.284271	54.163377
28.695675	54.166759
29.113064	54.170190
29.536523	54.173671
29.966142	54.177203
30.402009	54.180786
30.844217	54.184421
31.292856	54.188109
31.748021	54.191851
32.209807	54.193934
32.678309	54.189478
33.153626	54.184957
33.635857	54.180371
34.125101	54.175717
34.621462	54.170996
35.125043	54.166207
35.635949	54.161347
36.154286	54.156417
36.680162	54.151415
37.213687	54.146341
37.754973	54.141193
38.304131	54.136639
38.861278	54.132289
39.426528	54.127877
40.000000	54.123400
40.581813	54.118858
41.172089	54.114249
41.770951	54.109574
42.378524	54.104831
42.994934	54.100019
43.620309	54.095137
44.254781	54.090183
44.898482	54.085158
45.551545	54.080379
46.214108	54.075575
46.886308	54.070700
47.568285	54.065754
48.260181	54.060737
48.962142	54.055646
49.674312	54.050481
50.396842	54.045242
51.129881	54.039926
51.873582	54.034532
52.628101	54.029065
53.393594	54.023584
54.170222	54.018023
54.958146	54.012381
55.757531	54.006657
56.568542	54.000849
57.391351	53.994958
58.226127	53.988980
59.073046	53.982916
59.932283	53.976763
60.804018	53.965595
61.688433	53.950929
62.585712	53.936050
63.496042	53.920954
64.419613	53.905032
65.356618	53.888793
66.307252	53.872319
67.271713	53.856004
68.250203	53.839855
69.242925	53.823471
70.250086	53.806728
71.271897	53.788839
72.308571	53.770690
73.360323	53.751945
74.427374	53.728846
75.509945	53.705411
76.608262	53.679434
77.722555	53.652170
78.853056	53.625055
80.000000	53.597802
81.163627	53.567112
82.344179	53.534342
83.541903	53.501867
84.757048	53.469167
85.989867	53.436576
87.240619	53.403977
88.509563	53.371240
89.796964	53.349714
91.103091	53.329313
92.428216	53.309526
93.772615	53.293449
95.136569	53.277139
96.520362	53.260591
97.924283	53.246652
99.348625	53.233201
100.793684	53.219554
102.259762	53.205709
103.747164	53.193050
105.256202	53.180674
106.787188	53.168119
108.340444	53.155380
109.916292	53.140758
111.515061	53.122808
113.137085	53.104597
114.782702	53.085661
116.452255	53.065430
118.146092	53.044905
119.864566	53.022789
121.608036	52.999512
123.376866	52.976791
125.171424	52.956581
126.992084	52.936076
128.839227	52.915702
130.713236	52.895405
132.614504	52.874813
134.543426	52.852150
136.500406	52.828797
138.485850	52.803662
140.500173	52.776494
142.543795	52.746896
144.617142	52.714227
146.720647	52.675558
148.854748	52.634754
151.019890	52.593877
153.216525	52.553174
155.445111	52.512432
157.706112	52.467012
160.000000	52.417045
162.327254	52.376176
164.688358	52.335493
167.083805	52.310875
169.514095	52.296204
171.979734	52.281321
174.481237	52.266220
177.019125	52.272132
179.593928	52.280493
182.206182	52.288976
184.856431	52.297582
187.545230	52.306314
190.273138	52.315172
193.040725	52.313531
195.848567	52.300143
198.697250	52.286561
201.587368	52.272782
204.519524	52.247669
207.494329	52.206798
210.512403	52.166080
213.574377	52.115558
216.680888	52.061185
219.832584	52.006811
